Batch size: 256
Timestamp: 2025-09-05T10:57:51.762Z
Account: 0x063db350e4a19fb0cbb4edb7a6f546e28399b19c13eaa4fac304d0a6dbaeda62
Concurrency: 16
FeeToken: ETH  (maxFee buffer 30%)
tx_hash, status, block_number
0x3ee9c0682c7061b30484929bd68bbc856ff873546115d117e6bff73613fe46d, ACCEPTED_ON_L2, 1891487
0x585ee07ce5c260c2d0ac8a91e6324c5d09c78c85b2e7ac0abb71c3ca9c646d2, ACCEPTED_ON_L2, 1891487
0x722ca05ce5b6580662724ccb26feca9464ff84a577a5b5ab67904cf13c9ef70, ACCEPTED_ON_L2, 1891487
0x12636829cd099492424ecf9c94e0e43af444382124a4776f192200208f0a67c, ACCEPTED_ON_L2, 1891487
0x3797ac5b058b54d2ad5953658de1c4b6e03f70733684e9dda0df9db856f6cfa, ACCEPTED_ON_L2, 1891487
0x13ac0538e343ae3fd12492b47702c72600b68bdf818a1aef098a501764a4ad8, ACCEPTED_ON_L2, 1891488
0x761aacef15903be127232c71e302ecd917801fd8d740c9b8d8d7e3b6ec06c18, ACCEPTED_ON_L2, 1891488
0x23a5ba8b2c9289687695edee72836d2a8b9490655d50f231c71cdb30b963789, ACCEPTED_ON_L2, 1891488
0x29906f746794f78fc5b7a0a08a38a991542fc9c0cc0e83148188ae99cfa9f96, ACCEPTED_ON_L2, 1891488
0x2642be887075c7943a3a5d4266932cb97b0e9bf9cd79d20457377c4db4deaaf, ACCEPTED_ON_L2, 1891488
0x376f62ac3e2ef885a41d5dcb396b23b8e7aaa29c515091a607ea95735d39720, ACCEPTED_ON_L2, 1891489
0x1fca284a1639bf6446beb47172ad0a3db10522e24821c465a409142571a10fc, ACCEPTED_ON_L2, 1891489
0x4165b30016e685e4441fb83d57357ceb5c3b8eecbfcf7cf37ef6720ce059d35, ACCEPTED_ON_L2, 1891491
0x3fb3d43aac35c2aea5dac23bfd36f404bd4df6ba69f22ba180d30317a9f81d8, ACCEPTED_ON_L2, 1891491
0x3becbdea99e199a859ac58061e82b35e439715e4831c141ee3c932ebf3e354b, ACCEPTED_ON_L2, 1891491
0x303bd93e5d0d954fcf427383341075fdeabd1e012d46ac35d3727cb5080a647, ACCEPTED_ON_L2, 1891491
0x5aebf22a2ffdcdfc9802a7c56d9022a6645837fcd44637526001f4b0b58e334, ACCEPTED_ON_L2, 1891491
0x19c9f19a41073f502de6db5ee97bb39f5cfc8edac6cdbd83b6ddb4abd405db, ACCEPTED_ON_L2, 1891492
0xd1e178ec984c047794d13723db04ab546c3c870831fec65d5e22b864f70681, ACCEPTED_ON_L2, 1891492
0x2cc763207ac9019fd3418540a4403c64c42dcb7ee6b0dbc7fa3268f0d9d6651, ACCEPTED_ON_L2, 1891492
0xa252051502ad539b9ec721c05c5f1c170566e5d859e32b51cdb241e1bb4033, ACCEPTED_ON_L2, 1891492
0x645495a8b6626b5d25bcdb009a8ab16c3690a81623e7139d6a2b5d65d749262, ACCEPTED_ON_L2, 1891492
0x1f6d6e960847bbbfe09bb47b865146d0860df94ee9df681f747836af747005f, ACCEPTED_ON_L2, 1891493
0x53153ff2d845463e5a0bebb4fa86f36766093122291646bdbffce1428dc1077, ACCEPTED_ON_L2, 1891493
0xf93f342c838b732161f61e7966113557b7d5c924958dc8a92de8ca8569664c, ACCEPTED_ON_L2, 1891493
0x1e3af4d17ef41bc7d1caeb5adb132034a0db552dbd93cf9f8fb216d6d754548, ACCEPTED_ON_L2, 1891493
0x676ed5c40052c276c03d0749755815d1d1c2de5123973a0a424fe14a8f5f581, ACCEPTED_ON_L2, 1891493
0x5b794edd908df043bf2e85e7231d7ad27b692dc43f70e87562eef1ebdd76729, ACCEPTED_ON_L2, 1891494
0x5f88764f39db4bd9ee74a3c6a9d225b736c9f29b00bfd5dace95d11bf12d0b5, ACCEPTED_ON_L2, 1891494
0x7fbeb7fed1ffb1706efa96c0b92c0329fc055aeac6174e55d28b39e34b920ae, ACCEPTED_ON_L2, 1891494
0x189a9877a7f6789a2b70f3465c2a94a259607f0e3e5c798fcfa914232fe8c49, ACCEPTED_ON_L2, 1891494
0x3968ba041ea07439d507ace45c19d5bd6dafaf5e1e44d8283575ff90cd5b25e, ACCEPTED_ON_L2, 1891494
0x5859cbb55a3f6cb6afc405b68ce4407d010de0681aad7eb75973b3db879c03a, ACCEPTED_ON_L2, 1891495
0x51d5e0b9e1e206ef3ae5901286db3605d1f453eac3704df67daa438d37010fd, ACCEPTED_ON_L2, 1891495
0x61fafcb2a778b2d738ac2b1348976b7ac85a01f353fee8a03a1c3f32d209c56, ACCEPTED_ON_L2, 1891495
0x1a13f0902785861469e40c65eae7ee0c3facd900211d0ecd1ef2d4504c65a67, ACCEPTED_ON_L2, 1891495
0x41d0a0316061605647692ac075e470efe65d37f4d8431d91ec9db88f81d13f0, ACCEPTED_ON_L2, 1891495
0x57ca9749af26c942b2808114e070452a0f602dc9ed13bbf3a7a649af248e739, ACCEPTED_ON_L2, 1891496
0xb42957160d0a1088438cd3349145749bae288c823ab16dfc102695eae9f51a, ACCEPTED_ON_L2, 1891496
0x6624b53ab743b2096858d5029b999e25e9ee9153f013c2f7a6cac83bee08455, ACCEPTED_ON_L2, 1891496
0x2fbe216d54cfa2808e980b55863e891bfbbcc96dd0372c4dcce7a521f37b207, ACCEPTED_ON_L2, 1891496
0x489ed51455ee3f70f8b819261a0e87cb7b8cb98cf086ead1b2f2dde4da59508, ACCEPTED_ON_L2, 1891496
0x10b608ad90e88454a6e8d91dea3e77325742ab74f5b8292819c43dd5a7b9a13, ACCEPTED_ON_L2, 1891496
0x5a628cf0680dbd72b9be1e715433e154728b9496be48985f4209c4e30ed23e, ACCEPTED_ON_L2, 1891497
0x6626855abcaa7bb7ce3c3c7f5400562d98be7577a9a5b9619441b45f9b2b4c8, ACCEPTED_ON_L2, 1891497
0x2b4abdcd007b83deebc173b0076b83dcee2d9e32a6c9a50f4466221ba634c91, ACCEPTED_ON_L2, 1891497
0x27cb52f247faddb93ef9bdc3fb3529f12042a53b05698e8102c0e5751bbd8b8, ACCEPTED_ON_L2, 1891497
0x1dc3de794f4ef1a9f66a3a186834f3a176a42331cb8bc98469052a300b55f75, ACCEPTED_ON_L2, 1891497
0x6ac2abf45d396ff3c9f81e91207313edf3cac29d9bad4169231acbff7001e46, ACCEPTED_ON_L2, 1891498
0x1c1e2dd10fb37e95c7bb6498e5ac809f5be7e9f7827f321362520cdd8b9c8a8, ACCEPTED_ON_L2, 1891498
